seed;compile_flags;run_flags;optimized;avg_utime;std_utime;avg_stime;std_stime;n
1764;['-optimize'];['-Djitordie'];0;6875.2;528;109.0;29;10
1764;['-optimize'];['-Djitordie'];1;6900.5;383;102.0;20;10
1764;['-optimize'];[];0;4799.8;62;49.9;17;10
1764;['-optimize'];[];1;4844.6;89;37.2;10;10
1764;[];['-Djitordie'];0;6766.6;379;103.0;18;10
1764;[];['-Djitordie'];1;6801.9;411;106.1;24;10
1764;[];[];0;4901.2;69;49.0;12;10
1764;[];[];1;4909.1;71;41.7;14;10
74088;['-optimize'];['-Djitordie'];0;7122.3;384;147.2;53;10
74088;['-optimize'];['-Djitordie'];1;6680.7;176;111.3;22;10
74088;['-optimize'];[];0;4797.9;23;37.0;14;10
74088;['-optimize'];[];1;4802.5;53;43.0;12;10
74088;[];['-Djitordie'];0;6700.7;220;110.7;19;10
74088;[];['-Djitordie'];1;6793.5;192;103.3;18;10
74088;[];[];0;4863.7;72;44.8;9;10
74088;[];[];1;4860.3;81;42.8;12;10
