compiler;version;standalone;optimized;avg;std;n;avg;std;n;avg;std;n
0;0;1;0;2137.12;69.27;17;2137.12;69.27;17;2137.12;69.27;17
0;0;1;1;745.87;40.61;15;719.92;5.28;13;731.67;9.07;15
0;1;1;0;3304.58;72.10;19;3304.58;72.10;19;3304.58;72.10;19
0;1;1;1;1111.94;41.80;16;1084.80;9.67;15;1083.56;14.65;16
0;2;0;0;-;-;-;-;-;-;-;-;-
0;2;0;1;-;-;-;-;-;-;-;-;-
0;3;0;0;3156.33;47.04;12;3156.33;47.04;12;3156.33;47.04;12
0;3;0;1;1072.64;5.46;39;1079.92;6.84;39;1097.05;15.30;38
3;0;1;0;-;-;-;-;-;-;-;-;-
3;0;1;1;-;-;-;-;-;-;-;-;-
3;1;1;0;142.92;15.99;13;142.92;15.99;13;142.92;15.99;13
3;1;1;1;63.40;20.02;10;76.14;7.62;14;77.50;18.34;14
3;2;0;0;190.32;18.68;19;190.32;18.68;19;190.32;18.68;19
3;2;0;1;92.16;8.64;19;89.63;11.68;19;80.63;16.25;19
3;3;0;0;135.68;4.82;19;135.68;4.82;19;135.68;4.82;19
3;3;0;1;48.21;0.54;19;49.37;1.67;19;53.84;8.77;19
